Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
1,BA - English,4,0,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
2,BA - History,0,0,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
3,BSc - Chemistry,3,2,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
4,BSc - Mathematics,19,3,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
5,BSc - Physics,8,2,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
6,BSc - Zoology,1,2,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
7,BCom - Co-operation,1,0,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
8,BCom - Computer Application,1,1,"Baby John Memorial Govt. College,Chavara",Kollam,Government,Government
9,BA - Economics,2,1,"Govt. Arts & Science College,Ambalapuzha",Alappuzha,Government,Government
10,BSc - Mathematics,20,1,"Govt. Arts & Science College,Ambalapuzha",Alappuzha,Government,Government
11,BCom - Computer Application,0,0,"Govt. Arts & Science College,Ambalapuzha",Alappuzha,Government,Government
12,BA - Arabic,1,2,"University College, Palayam",Thiruvananthapuram,Government,Government
13,BA - Economics,3,0,"University College, Palayam",Thiruvananthapuram,Government,Government
14,BA - English,2,1,"University College, Palayam",Thiruvananthapuram,Government,Government
15,BA - Hindi,0,1,"University College, Palayam",Thiruvananthapuram,Government,Government
16,BA - History,2,0,"University College, Palayam",Thiruvananthapuram,Government,Government
17,BA - Islamic History,1,0,"University College, Palayam",Thiruvananthapuram,Government,Government
18,BA - Malayalam,0,0,"University College, Palayam",Thiruvananthapuram,Government,Government
19,BA - Philosophy,1,1,"University College, Palayam",Thiruvananthapuram,Government,Government
20,BA - Political Science,4,0,"University College, Palayam",Thiruvananthapuram,Government,Government
21,BA - Sanskrit,0,1,"University College, Palayam",Thiruvananthapuram,Government,Government
22,BA - Tamil,0,1,"University College, Palayam",Thiruvananthapuram,Government,Government
23,BSc - Botany,1,2,"University College, Palayam",Thiruvananthapuram,Government,Government
24,BSc - Chemistry,1,2,"University College, Palayam",Thiruvananthapuram,Government,Government
25,BSc - Geography,1,1,"University College, Palayam",Thiruvananthapuram,Government,Government
26,BSc - Geology,0,0,"University College, Palayam",Thiruvananthapuram,Government,Government
27,BSc - Mathematics,1,3,"University College, Palayam",Thiruvananthapuram,Government,Government
28,BSc - Physics,2,2,"University College, Palayam",Thiruvananthapuram,Government,Government
29,BSc - Zoology,2,0,"University College, Palayam",Thiruvananthapuram,Government,Government
30,BA - English & Communicative English,0,0,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
31,BA - Economics,0,0,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
32,BA - Sociology,0,0,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
33,BSc - Mathematics,1,1,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
34,BCom - Commerce & Tax Procedure and Practice,0,0,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
35,BSc - Physics (Mathematics Machine Learning),11,2,"Government K N M Arts & Science College, Kanjiramkulam",Thiruvananthapuram,Government,Government
36,BA - English,2,1,"Malayankeezhu Madhavakavi Smaraka Govt. Arts and Science College, Malayankeezhu",Thiruvananthapuram,Government,Government
37,BSc - Mathematics,9,2,"Malayankeezhu Madhavakavi Smaraka Govt. Arts and Science College, Malayankeezhu",Thiruvananthapuram,Government,Government
38,BCom - Co-operation,0,0,"Malayankeezhu Madhavakavi Smaraka Govt. Arts and Science College, Malayankeezhu",Thiruvananthapuram,Government,Government
39,BA - Economics,0,0,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
40,BA - History,0,0,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
41,BA - Malayalam,1,0,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
42,BSc - Mathematics,25,2,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
43,BSc - Physics and Computer Application,2,1,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
44,BCom - Finance,0,3,"Govt. College, Nedumangad",Thiruvananthapuram,Government,Government
45,BA - English,0,0,"Govt. Arts & Science College, Kulathoor, Neyyattinkara",Thiruvananthapuram,Government,Government
